AGAP000628	AGAP000628-RA
AGAP000629	AGAP000629-RA
AGAP000630	AGAP000630-RA
AGAP000631	AGAP000631-RA
AGAP000632	AGAP000632-RA
AGAP000633	AGAP000633-RA
AGAP000634	AGAP000634-RA
AGAP000635	AGAP000635-RA
AGAP000636	AGAP000636-RA
AGAP000637	AGAP000637-RA
AGAP000638	AGAP000638-RA
AGAP000639	AGAP000639-RA
AGAP000640	AGAP000640-RA
AGAP000641	AGAP000641-RA
AGAP000642	AGAP000642-RA
AGAP000643	AGAP000643-RA
AGAP000644	AGAP000644-RA
AGAP000645	AGAP000645-RA
AGAP000646	AGAP000646-RA
AGAP000647	AGAP000647-RA
AGAP000648	AGAP000648-RA
AGAP000649	AGAP000649-RA
AGAP000650	AGAP000650-RA
AGAP000651	AGAP000651-RA
AGAP000652	AGAP000652-RA
AGAP000653	AGAP000653-RA
AGAP000654	AGAP000654-RA
AGAP000655	AGAP000655-RA
AGAP000656	AGAP000656-RA
AGAP000657	AGAP000657-RA
AGAP000658	AGAP000658-RA
AGAP000659	AGAP000659-RA
AGAP000660	AGAP000660-RA
AGAP000661	AGAP000661-RB
AGAP000661	AGAP000661-RA
AGAP000662	AGAP000662-RA
AGAP000663	AGAP000663-RA
AGAP000664	AGAP000664-RA
AGAP000665	AGAP000665-RA
AGAP000666	AGAP000666-RA
AGAP000667	AGAP000667-RA
AGAP000668	AGAP000668-RA
AGAP000669	AGAP000669-RA
AGAP000670	AGAP000670-RA
AGAP000671	AGAP000671-RA
AGAP000672	AGAP000672-RA
AGAP000673	AGAP000673-RA
AGAP000674	AGAP000674-RA
AGAP000675	AGAP000675-RA
AGAP000676	AGAP000676-RA
AGAP000677	AGAP000677-RA
AGAP000678	AGAP000678-RA
AGAP000679	AGAP000679-RA
AGAP000680	AGAP000680-RA
AGAP000681	AGAP000681-RA
AGAP000682	AGAP000682-RA
AGAP000683	AGAP000683-RA
AGAP000684	AGAP000684-RA
AGAP000684	AGAP000684-RB
AGAP000685	AGAP000685-RA
AGAP000686	AGAP000686-RA
AGAP000687	AGAP000687-RA
AGAP000688	AGAP000688-RA
AGAP000689	AGAP000689-RA
AGAP000690	AGAP000690-RA
AGAP000691	AGAP000691-RA
AGAP000692	AGAP000692-RA
AGAP000693	AGAP000693-RA
AGAP000694	AGAP000694-RA
AGAP000695	AGAP000695-RA
AGAP000696	AGAP000696-RA
AGAP000697	AGAP000697-RA
AGAP000698	AGAP000698-RA
AGAP000699	AGAP000699-RA
AGAP000700	AGAP000700-RA
AGAP000701	AGAP000701-RA
AGAP000702	AGAP000702-RA
AGAP000703	AGAP000703-RA
AGAP000704	AGAP000704-RA
AGAP000705	AGAP000705-RA
AGAP000706	AGAP000706-RA
AGAP000707	AGAP000707-RA
AGAP000708	AGAP000708-RA
AGAP000709	AGAP000709-RA
AGAP000710	AGAP000710-RA
AGAP000711	AGAP000711-RA
AGAP000712	AGAP000712-RA
AGAP000713	AGAP000713-RA
AGAP000714	AGAP000714-RA
AGAP000715	AGAP000715-RA
AGAP000716	AGAP000716-RA
AGAP000717	AGAP000717-RA
AGAP000718	AGAP000718-RA
AGAP000719	AGAP000719-RA
AGAP000720	AGAP000720-RA
AGAP000721	AGAP000721-RA
AGAP000722	AGAP000722-RA
AGAP000723	AGAP000723-RA
AGAP000724	AGAP000724-RA
AGAP000725	AGAP000725-RA
AGAP000726	AGAP000726-RA
AGAP000727	AGAP000727-RA
AGAP000728	AGAP000728-RA
AGAP000728	AGAP000728-RB
AGAP000731	AGAP000731-RA
AGAP000732	AGAP000732-RA
AGAP000733	AGAP000733-RA
AGAP000734	AGAP000734-RA
AGAP000735	AGAP000735-RA
AGAP000736	AGAP000736-RA
AGAP000737	AGAP000737-RA
AGAP000738	AGAP000738-RA
AGAP000739	AGAP000739-RA
AGAP000740	AGAP000740-RA
AGAP000741	AGAP000741-RA
AGAP000743	AGAP000743-RC
AGAP000743	AGAP000743-RA
AGAP000743	AGAP000743-RB
AGAP000744	AGAP000744-RA
AGAP000745	AGAP000745-RA
AGAP000746	AGAP000746-RA
AGAP000747	AGAP000747-RA
AGAP000748	AGAP000748-RA
AGAP000749	AGAP000749-RA
AGAP000750	AGAP000750-RA
AGAP000751	AGAP000751-RA
AGAP000752	AGAP000752-RA
AGAP000753	AGAP000753-RA
